order,name,ra_hms,dec_dms,ra_deg,dec_deg,bright_mag,var_type,catalog_period_days,catalog_amplitude_mag,best_local_time,best_max_altitude_deg,exposure_seconds,frame_count,total_minutes,score,aavso_chart_url
1,Gaia DR3 1454878252642442624,13:42:15.09,+28:23:25.7,205.562870,28.390470,12.00,SR|M,307.000000,0.260,2026-05-30T22:00:00-04:00,77.6,30,60,30,112.0,https://apps.aavso.org/vsp/photometry/?star=Gaia+DR3+1454878252642442624&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
2,BV Boo,13:42:03.87,+22:54:49.6,205.516110,22.913780,11.70,LB,37.620120,0.400,2026-05-30T22:00:00-04:00,72.2,30,60,30,98.0,https://apps.aavso.org/vsp/photometry/?star=BV+Boo&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
3,VX CVn,13:29:40.41,+41:05:28.2,202.418380,41.091170,10.20,SRA,360.000000,1.300,2026-05-30T22:00:00-04:00,88.3,30,60,30,98.0,https://apps.aavso.org/vsp/photometry/?star=VX+CVn&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
4,UY CVn,12:24:53.83,+45:35:04.7,186.224290,45.584640,9.26,LB,,0.480,2026-05-30T22:00:00-04:00,75.8,15,60,15,94.0,https://apps.aavso.org/vsp/photometry/?star=UY+CVn&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
5,TW CVn,12:59:21.18,+43:53:15.6,194.838260,43.887670,11.00,LB,,1.600,2026-05-30T22:00:00-04:00,82.2,30,60,30,88.0,https://apps.aavso.org/vsp/photometry/?star=TW+CVn&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
6,Gaia DR3 1558280625379648640,13:41:27.84,+48:54:43.4,205.365980,48.912060,11.83,L,,0.810,2026-05-30T22:00:00-04:00,81.8,30,60,30,88.0,https://apps.aavso.org/vsp/photometry/?star=Gaia+DR3+1558280625379648640&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
7,Gaia DR3 1559243419606846976,13:44:27.00,+51:41:08.6,206.112500,51.685720,11.58,L,,0.830,2026-05-30T22:00:00-04:00,79.0,30,60,30,88.0,https://apps.aavso.org/vsp/photometry/?star=Gaia+DR3+1559243419606846976&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
8,CT Dra,11:41:09.29,+75:28:21.5,175.288710,75.472640,9.80,LB,,0.600,2026-05-30T22:00:00-04:00,52.9,15,60,15,70.9,https://apps.aavso.org/vsp/photometry/?star=CT+Dra&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
9,Gaia DR3 834495451075774976,10:28:28.87,+48:14:17.8,157.120300,48.238280,11.95,L,,0.740,2026-05-30T22:00:00-04:00,55.9,30,60,30,67.9,https://apps.aavso.org/vsp/photometry/?star=Gaia+DR3+834495451075774976&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
10,FF Dra,10:51:33.36,+75:11:27.9,162.889010,75.191080,8.67,LB,,0.230,2026-05-30T22:00:00-04:00,50.8,15,60,15,62.8,https://apps.aavso.org/vsp/photometry/?star=FF+Dra&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
11,RU Leo,10:53:09.41,+24:21:31.1,163.289220,24.358640,10.30,LB,62.220400,1.700,2026-05-30T22:00:00-04:00,52.0,30,60,30,62.0,https://apps.aavso.org/vsp/photometry/?star=RU+Leo&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
12,ZZ CVn,13:59:11.10,+45:28:16.4,209.796250,45.471220,10.90,LB,,0.900,2026-05-30T22:30:00-04:00,85.0,30,60,30,94.0,https://apps.aavso.org/vsp/photometry/?star=ZZ+CVn&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
13,RW CVn,13:59:33.47,+37:11:50.3,209.889470,37.197310,8.27,SRB,100.000000,0.520,2026-05-30T22:30:00-04:00,86.1,15,60,15,92.0,https://apps.aavso.org/vsp/photometry/?star=RW+CVn&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
14,Gaia DR3 1477446592088319872,14:17:02.14,+31:42:44.7,214.258930,31.712410,11.60,L,,0.760,2026-05-30T22:30:00-04:00,80.8,30,60,30,88.0,https://apps.aavso.org/vsp/photometry/?star=Gaia+DR3+1477446592088319872&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
15,SX Boo,13:56:08.74,+14:08:12.2,209.036410,14.136710,10.46,M,153.000000,4.040,2026-05-30T22:30:00-04:00,63.3,30,60,30,85.3,https://apps.aavso.org/vsp/photometry/?star=SX+Boo&type=chart&fov=120&maglimit=14.5&resolution=150&north=up&east=left
